for j in np.arange(0.01, 0.5, 0.05):
    for k in range(2, 9):
========== Sorted Scores ==========
Cutoff Frequency: 0.41000000000000003, Filter Order: 8, Score: 7.44474166150255
Cutoff Frequency: 0.41000000000000003, Filter Order: 7, Score: 7.444741661481179
Cutoff Frequency: 0.46, Filter Order: 8, Score: 7.444741661462883
Cutoff Frequency: 0.46, Filter Order: 7, Score: 7.444741661461323
Cutoff Frequency: 0.46, Filter Order: 6, Score: 7.444741661448678
Cutoff Frequency: 0.36000000000000004, Filter Order: 8, Score: 7.444741661438175
Cutoff Frequency: 0.51, Filter Order: 8, Score: 7.4447416614271225
Cutoff Frequency: 0.51, Filter Order: 7, Score: 7.444741661426058
Cutoff Frequency: 0.51, Filter Order: 6, Score: 7.444741661423016
Cutoff Frequency: 0.51, Filter Order: 5, Score: 7.444741661397097
Cutoff Frequency: 0.41000000000000003, Filter Order: 6, Score: 7.444741661390889
Cutoff Frequency: 0.46, Filter Order: 5, Score: 7.444741661323351
Cutoff Frequency: 0.36000000000000004, Filter Order: 7, Score: 7.444741661246098
Cutoff Frequency: 0.41000000000000003, Filter Order: 5, Score: 7.444741660799004
Cutoff Frequency: 0.51, Filter Order: 4, Score: 7.444741660673654
Cutoff Frequency: 0.36000000000000004, Filter Order: 6, Score: 7.444741660664585
Cutoff Frequency: 0.31, Filter Order: 8, Score: 7.444741659042565
Cutoff Frequency: 0.46, Filter Order: 4, Score: 7.444741658809216
Cutoff Frequency: 0.36000000000000004, Filter Order: 5, Score: 7.44474165774905
Cutoff Frequency: 0.31, Filter Order: 7, Score: 7.444741657620387
Cutoff Frequency: 0.31, Filter Order: 6, Score: 7.444741654055483
Cutoff Frequency: 0.41000000000000003, Filter Order: 4, Score: 7.444741651908612
Cutoff Frequency: 0.31, Filter Order: 5, Score: 7.444741639058644
Cutoff Frequency: 0.26, Filter Order: 8, Score: 7.444741632259756
Cutoff Frequency: 0.36000000000000004, Filter Order: 4, Score: 7.444741624785713
Cutoff Frequency: 0.26, Filter Order: 7, Score: 7.444741622676192
Cutoff Frequency: 0.51, Filter Order: 3, Score: 7.444741613716899
Cutoff Frequency: 0.26, Filter Order: 6, Score: 7.444741600042076
Cutoff Frequency: 0.46, Filter Order: 3, Score: 7.444741538775801
Cutoff Frequency: 0.26, Filter Order: 5, Score: 7.444741513119158
Cutoff Frequency: 0.31, Filter Order: 4, Score: 7.4447415065005975
Cutoff Frequency: 0.21000000000000002, Filter Order: 8, Score: 7.444726823273112
Cutoff Frequency: 0.41000000000000003, Filter Order: 3, Score: 7.444725921532041
Cutoff Frequency: 0.21000000000000002, Filter Order: 7, Score: 7.444723792660981
Cutoff Frequency: 0.21000000000000002, Filter Order: 6, Score: 7.44471527465126
Cutoff Frequency: 0.26, Filter Order: 4, Score: 7.44470459769736
Cutoff Frequency: 0.36000000000000004, Filter Order: 3, Score: 7.444698498893003
Cutoff Frequency: 0.21000000000000002, Filter Order: 5, Score: 7.444683723441731
Cutoff Frequency: 0.31, Filter Order: 3, Score: 7.4446122919530895
Cutoff Frequency: 0.16, Filter Order: 8, Score: 7.444574396738988
Cutoff Frequency: 0.21000000000000002, Filter Order: 4, Score: 7.444512487422853
Cutoff Frequency: 0.16, Filter Order: 7, Score: 7.444508791170149
Cutoff Frequency: 0.51, Filter Order: 2, Score: 7.444409127145109
Cutoff Frequency: 0.16, Filter Order: 6, Score: 7.444369592574729
Cutoff Frequency: 0.26, Filter Order: 3, Score: 7.444309412774649
Cutoff Frequency: 0.46, Filter Order: 2, Score: 7.444117565910304
Cutoff Frequency: 0.16, Filter Order: 5, Score: 7.443999588560385
Cutoff Frequency: 0.41000000000000003, Filter Order: 2, Score: 7.443553011824264
Cutoff Frequency: 0.21000000000000002, Filter Order: 3, Score: 7.442994351883924
Cutoff Frequency: 0.16, Filter Order: 4, Score: 7.442670096454859
Cutoff Frequency: 0.36000000000000004, Filter Order: 2, Score: 7.442413831062572
Cutoff Frequency: 0.31, Filter Order: 2, Score: 7.4399425627782465
Cutoff Frequency: 0.11, Filter Order: 8, Score: 7.4359111721293205
Cutoff Frequency: 0.16, Filter Order: 3, Score: 7.435223685603812
Cutoff Frequency: 0.11, Filter Order: 7, Score: 7.434532983933006
Cutoff Frequency: 0.26, Filter Order: 2, Score: 7.434010290734333
Cutoff Frequency: 0.11, Filter Order: 6, Score: 7.431970505296922
Cutoff Frequency: 0.11, Filter Order: 5, Score: 7.426481393205577
Cutoff Frequency: 0.21000000000000002, Filter Order: 2, Score: 7.417516727223655
Cutoff Frequency: 0.11, Filter Order: 4, Score: 7.412055958649612
Cutoff Frequency: 0.11, Filter Order: 3, Score: 7.360906170216118
Cutoff Frequency: 0.16, Filter Order: 2, Score: 7.36027030226314
Cutoff Frequency: 0.11, Filter Order: 2, Score: 7.07903413171558
Cutoff Frequency: 0.060000000000000005, Filter Order: 8, Score: 6.757861003015381
Cutoff Frequency: 0.060000000000000005, Filter Order: 7, Score: 6.722672664955499
Cutoff Frequency: 0.060000000000000005, Filter Order: 6, Score: 6.6652775700966895
Cutoff Frequency: 0.060000000000000005, Filter Order: 5, Score: 6.566353326957264
Cutoff Frequency: 0.060000000000000005, Filter Order: 4, Score: 6.379953282266317
Cutoff Frequency: 0.060000000000000005, Filter Order: 3, Score: 5.975402221469944
Cutoff Frequency: 0.060000000000000005, Filter Order: 2, Score: 4.901306652929573
Cutoff Frequency: 0.01, Filter Order: 8, Score: 0.18503755315112308
Cutoff Frequency: 0.01, Filter Order: 7, Score: 0.16538770999296717
Cutoff Frequency: 0.01, Filter Order: 6, Score: 0.15403295300196176
Cutoff Frequency: 0.01, Filter Order: 5, Score: 0.1515169017289811
Cutoff Frequency: 0.01, Filter Order: 4, Score: 0.14720105478471673
Cutoff Frequency: 0.01, Filter Order: 2, Score: 0.14338219173790917
Cutoff Frequency: 0.01, Filter Order: 3, Score: 0.13789839600638742



for j in np.arange(0.001, 0.03, 0.005):
    for k in range(2, 4):
========== Sorted Scores ==========
Cutoff Frequency: 0.001, Filter Order: 3, Score: 2.2387780207145025
Cutoff Frequency: 0.001, Filter Order: 2, Score: 2.182654351554162
Cutoff Frequency: 0.026000000000000002, Filter Order: 3, Score: 0.7009352114516681
Cutoff Frequency: 0.026000000000000002, Filter Order: 2, Score: 0.525878082580196
Cutoff Frequency: 0.021, Filter Order: 3, Score: 0.30307555504634065
Cutoff Frequency: 0.006, Filter Order: 3, Score: 0.2712841405423961
Cutoff Frequency: 0.021, Filter Order: 2, Score: 0.22209370436409312
Cutoff Frequency: 0.006, Filter Order: 2, Score: 0.21004057411677077
Cutoff Frequency: 0.011, Filter Order: 2, Score: 0.1255538002147778
Cutoff Frequency: 0.011, Filter Order: 3, Score: 0.11694869682967005
Cutoff Frequency: 0.016, Filter Order: 3, Score: 0.10615873109326872
Cutoff Frequency: 0.016, Filter Order: 2, Score: 0.09547627685611385





for j in np.arange(0.010, 0.020, 0.001):
    for k in range(2, 5):
========== Sorted Scores ==========
Cutoff Frequency: 0.018999999999999993, Filter Order: 4, Score: 0.34209311939262016
Cutoff Frequency: 0.017999999999999995, Filter Order: 4, Score: 0.31814064401726816
Cutoff Frequency: 0.016999999999999994, Filter Order: 4, Score: 0.2801684731047423
Cutoff Frequency: 0.018999999999999993, Filter Order: 3, Score: 0.23843931093239262
Cutoff Frequency: 0.015999999999999993, Filter Order: 4, Score: 0.226909654584792
Cutoff Frequency: 0.017999999999999995, Filter Order: 3, Score: 0.21077568972432625
Cutoff Frequency: 0.016999999999999994, Filter Order: 3, Score: 0.17353141926922577
Cutoff Frequency: 0.014999999999999996, Filter Order: 4, Score: 0.15276408111722262
Cutoff Frequency: 0.015999999999999993, Filter Order: 3, Score: 0.12635590626998783
Cutoff Frequency: 0.018999999999999993, Filter Order: 2, Score: 0.08147458470398122
Cutoff Frequency: 0.014999999999999996, Filter Order: 3, Score: 0.07358398160168075
Cutoff Frequency: 0.013999999999999997, Filter Order: 4, Score: 0.07354276062540283
Cutoff Frequency: 0.017999999999999995, Filter Order: 2, Score: 0.05808157306447636
Cutoff Frequency: 0.012999999999999998, Filter Order: 4, Score: 0.05783534385055688
Cutoff Frequency: 0.01, Filter Order: 3, Score: 0.052529329689088515
Cutoff Frequency: 0.01, Filter Order: 2, Score: 0.05186214647437034
Cutoff Frequency: 0.013999999999999997, Filter Order: 3, Score: 0.050269743060375696
Cutoff Frequency: 0.011999999999999999, Filter Order: 4, Score: 0.04918893034857889
Cutoff Frequency: 0.012999999999999998, Filter Order: 3, Score: 0.04611384224103975
Cutoff Frequency: 0.01, Filter Order: 4, Score: 0.04437161147866643
Cutoff Frequency: 0.011999999999999999, Filter Order: 3, Score: 0.03948529731631425
Cutoff Frequency: 0.011, Filter Order: 4, Score: 0.038435014065085295
Cutoff Frequency: 0.016999999999999994, Filter Order: 2, Score: 0.03808530658018392
Cutoff Frequency: 0.011, Filter Order: 2, Score: 0.03702771706688895
Cutoff Frequency: 0.015999999999999993, Filter Order: 2, Score: 0.03334223980649749
Cutoff Frequency: 0.011, Filter Order: 3, Score: 0.032515102180720935
Cutoff Frequency: 0.014999999999999996, Filter Order: 2, Score: 0.03059222074655215
Cutoff Frequency: 0.013999999999999997, Filter Order: 2, Score: 0.02736833466775953
Cutoff Frequency: 0.011999999999999999, Filter Order: 2, Score: 0.026806208834232063
Cutoff Frequency: 0.012999999999999998, Filter Order: 2, Score: 0.024863143403158417




for j in np.arange(0.010, 0.015, 0.0001):
    for k in range(2,3):
========== Sorted Scores ==========
Cutoff Frequency: 0.01, Filter Order: 2, Score: 0.05186214647437034
Cutoff Frequency: 0.0101, Filter Order: 2, Score: 0.05032946904143732
Cutoff Frequency: 0.010199999999999999, Filter Order: 2, Score: 0.04879733212579088
Cutoff Frequency: 0.010299999999999998, Filter Order: 2, Score: 0.047270012616688756
Cutoff Frequency: 0.010399999999999998, Filter Order: 2, Score: 0.045751557406540334
Cutoff Frequency: 0.010499999999999997, Filter Order: 2, Score: 0.044245758031199206
Cutoff Frequency: 0.010599999999999997, Filter Order: 2, Score: 0.042756157084185537
Cutoff Frequency: 0.010699999999999996, Filter Order: 2, Score: 0.041286067573380866
Cutoff Frequency: 0.010799999999999995, Filter Order: 2, Score: 0.03983867522985622
Cutoff Frequency: 0.010899999999999995, Filter Order: 2, Score: 0.038417213539958875
Cutoff Frequency: 0.010999999999999994, Filter Order: 2, Score: 0.03702771706689439
Cutoff Frequency: 0.011099999999999994, Filter Order: 2, Score: 0.03562626105771975
Cutoff Frequency: 0.011199999999999993, Filter Order: 2, Score: 0.03430307160412928
Cutoff Frequency: 0.011299999999999992, Filter Order: 2, Score: 0.03306102543974259
Cutoff Frequency: 0.011399999999999992, Filter Order: 2, Score: 0.031902750111322806
Cutoff Frequency: 0.011499999999999991, Filter Order: 2, Score: 0.030830579278623024
